"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Mont Kiara, Kuala Lumpur","RM",1100000,"Condominium","Built-up  ",1200,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1238000,"Condominium","Built-up  ",736,"sq. ft.","Partly Furnished"
"Bangsar South, Kuala Lumpur","RM",750000,"Serviced Residence (Intermediate)","Built-up  ",823,"sq. ft.","Partly Furnished"
"Damansara Heights, Kuala Lumpur","RM",2100000,"Condominium (Corner)","Built-up  ",2153,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1500000,"Condominium","Built-up  ",1200,"sq. ft.","Fully Furnished"
"Mont Kiara, Kuala Lumpur","RM",2300000,"Condominium (Corner)","Built-up  ",2702,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",990000,"Serviced Residence (Corner)","Built-up  ",1313,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",3960000,"Serviced Residence (Corner)","Built-up  ",2195,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2700000,"Serviced Residence (Corner)","Built-up  ",1184,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1900000,"Serviced Residence (Intermediate)","Built-up  ",1087,"sq. ft.","Fully Furnished"
"Desa ParkCity, Kuala Lumpur","RM",5460000,"3.5-sty Terrace/Link House (Intermediate)","Built-up  ",7000,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2050000,"Condominium","Built-up  ",2356,"sq. ft.","Fully Furnished"
"Bangsar South, Kuala Lumpur","RM",1121800,"Serviced Residence","Built-up  ",1200,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1506300,"Serviced Residence (Intermediate)","Built-up  ",1020,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",1530000,"Condominium (Corner)","Built-up  ",2095,"sq. ft.","Fully Furnished"
"Ampang, Kuala Lumpur","RM",3680000,"Bungalow (Corner)","Land area  ",6300,"sq. ft.","Unfurnished"
"Sri Hartamas, Kuala Lumpur","RM",14800000,"Bungalow","Land area  ",8611,"sq. ft.","Fully Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1480000,"Condominium (Corner)","Built-up  ",1917,"sq. ft.","Partly Furnished"
"Bangsar South, Kuala Lumpur","RM",1050000,"Condominium (Intermediate)","Built-up  ",1485,"sq. ft.","Fully Furnished"
"Klcc, Kuala Lumpur","RM",1200019,"Condominium (Corner)","Built-up  ",577,"sq. ft.","Partly Furnished"
